Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre

YuveYuveYu,0.624,0.857,10.0,-6.25,0.0,0.0542,0.0208,0.206,0.11,0.324,131.926,audio_features,6J2VvzKwWc2f0JP5RQVZjq,spotify:track:6J2VvzKwWc2f0JP5RQVZjq,https://api.spotify.com/v1/tracks/6J2VvzKwWc2f0JP5RQVZjq,https://api.spotify.com/v1/audio-analysis/6J2VvzKwWc2f0JP5RQVZjq,282920.0,4.0,celticmetal

Gloryhammer,0.517,0.916,0.0,-4.933,1.0,0.0559,0.000182,0.00191,0.306,0.444,135.996,audio_features,4HA34COgxgVJ6zK88UN4Ik,spotify:track:4HA34COgxgVJ6zK88UN4Ik,https://api.spotify.com/v1/tracks/4HA34COgxgVJ6zK88UN4Ik,https://api.spotify.com/v1/audio-analysis/4HA34COgxgVJ6zK88UN4Ik,300320.0,4.0,celticmetal

Nostos,0.251,0.894,8.0,-4.103,0.0,0.057,0.0144,0.0,0.123,0.297,114.223,audio_features,3W6Xik6Xxf06JuUoZSATlD,spotify:track:3W6Xik6Xxf06JuUoZSATlD,https://api.spotify.com/v1/tracks/3W6Xik6Xxf06JuUoZSATlD,https://api.spotify.com/v1/audio-analysis/3W6Xik6Xxf06JuUoZSATlD,175353.0,4.0,celticmetal

Yggdrasil,0.469,0.743,1.0,-5.57,0.0,0.0272,0.00222,0.000111,0.276,0.481,86.953,audio_features,2gGveBaLJQMtJ43X4UL5kH,spotify:track:2gGveBaLJQMtJ43X4UL5kH,https://api.spotify.com/v1/tracks/2gGveBaLJQMtJ43X4UL5kH,https://api.spotify.com/v1/audio-analysis/2gGveBaLJQMtJ43X4UL5kH,272292.0,4.0,celticmetal

Incense&Iron,0.487,0.952,1.0,-4.429,0.0,0.0613,0.000228,0.0,0.161,0.329,125.993,audio_features,1lRF81A1C9QoCgBcEop2zg,spotify:track:1lRF81A1C9QoCgBcEop2zg,https://api.spotify.com/v1/tracks/1lRF81A1C9QoCgBcEop2zg,https://api.spotify.com/v1/audio-analysis/1lRF81A1C9QoCgBcEop2zg,237933.0,4.0,celticmetal

WelcometoHell,0.43,0.797,2.0,-5.907,0.0,0.0303,0.000308,0.0566,0.323,0.352,147.982,audio_features,3lUQ6y8XeeaoK2hPydcX9c,spotify:track:3lUQ6y8XeeaoK2hPydcX9c,https://api.spotify.com/v1/tracks/3lUQ6y8XeeaoK2hPydcX9c,https://api.spotify.com/v1/audio-analysis/3lUQ6y8XeeaoK2hPydcX9c,262719.0,4.0,celticmetal

Ambiramus,0.434,0.908,6.0,-4.715,1.0,0.0936,0.00791,0.0,0.662,0.461,126.331,audio_features,6sXsi4DsxtpI4BnfhaG77v,spotify:track:6sXsi4DsxtpI4BnfhaG77v,https://api.spotify.com/v1/tracks/6sXsi4DsxtpI4BnfhaG77v,https://api.spotify.com/v1/audio-analysis/6sXsi4DsxtpI4BnfhaG77v,173213.0,4.0,celticmetal

Gunman,0.308,0.965,8.0,-3.172,1.0,0.0591,2.28e-05,0.0648,0.117,0.189,175.036,audio_features,3Mz5lXbMBK2tUmKAwAJwi1,spotify:track:3Mz5lXbMBK2tUmKAwAJwi1,https://api.spotify.com/v1/tracks/3Mz5lXbMBK2tUmKAwAJwi1,https://api.spotify.com/v1/audio-analysis/3Mz5lXbMBK2tUmKAwAJwi1,317733.0,4.0,celticmetal

NoMoreHollywoodEndings,0.5,0.925,4.0,-3.467,0.0,0.0378,0.00094,0.0,0.294,0.372,92.988,audio_features,7AstJIsEomp0hJyMasOqLN,spotify:track:7AstJIsEomp0hJyMasOqLN,https://api.spotify.com/v1/tracks/7AstJIsEomp0hJyMasOqLN,https://api.spotify.com/v1/audio-analysis/7AstJIsEomp0hJyMasOqLN,234787.0,4.0,celticmetal

Promises,0.479,0.977,2.0,-4.515,1.0,0.086,1.66e-05,5.31e-05,0.298,0.139,150.01,audio_features,1L4UqbKtfM4bk3UdOzrXny,spotify:track:1L4UqbKtfM4bk3UdOzrXny,https://api.spotify.com/v1/tracks/1L4UqbKtfM4bk3UdOzrXny,https://api.spotify.com/v1/audio-analysis/1L4UqbKtfM4bk3UdOzrXny,285925.0,4.0,celticmetal

RagnarsKv��i,0.519,0.944,11.0,-4.89,0.0,0.0552,0.0003,2.67e-05,0.395,0.439,108.05,audio_features,3RHQgksnzhtbgBpFwYhMgr,spotify:track:3RHQgksnzhtbgBpFwYhMgr,https://api.spotify.com/v1/tracks/3RHQgksnzhtbgBpFwYhMgr,https://api.spotify.com/v1/audio-analysis/3RHQgksnzhtbgBpFwYhMgr,248187.0,4.0,celticmetal

AngusMcFife,0.495,0.959,0.0,-3.621,1.0,0.0367,0.000216,2.18e-06,0.339,0.667,90.024,audio_features,4sBlQ2yaxrj8zF7J8EE6cA,spotify:track:4sBlQ2yaxrj8zF7J8EE6cA,https://api.spotify.com/v1/tracks/4sBlQ2yaxrj8zF7J8EE6cA,https://api.spotify.com/v1/audio-analysis/4sBlQ2yaxrj8zF7J8EE6cA,208227.0,4.0,celticmetal

SlayerofKings,0.397,0.929,2.0,-4.511,1.0,0.116,0.000596,0.000541,0.315,0.116,149.936,audio_features,0qoznAGKZOBgne7MiycPPc,spotify:track:0qoznAGKZOBgne7MiycPPc,https://api.spotify.com/v1/tracks/0qoznAGKZOBgne7MiycPPc,https://api.spotify.com/v1/audio-analysis/0qoznAGKZOBgne7MiycPPc,303787.0,4.0,celticmetal

MarchAgainsttheTyrant,0.434,0.884,7.0,-6.342,1.0,0.0687,0.00438,0.000676,0.27,0.216,89.967,audio_features,2xCPy6z5qUIwHMHyRBRVSx,spotify:track:2xCPy6z5qUIwHMHyRBRVSx,https://api.spotify.com/v1/tracks/2xCPy6z5qUIwHMHyRBRVSx,https://api.spotify.com/v1/audio-analysis/2xCPy6z5qUIwHMHyRBRVSx,562693.0,4.0,celticmetal

Ategnatos,0.48,0.969,4.0,-5.897,0.0,0.166,0.000107,0.00261,0.14,0.146,115.055,audio_features,2R9VjDWhLhQ6LsQBcmRBYK,spotify:track:2R9VjDWhLhQ6LsQBcmRBYK,https://api.spotify.com/v1/tracks/2R9VjDWhLhQ6LsQBcmRBYK,https://api.spotify.com/v1/audio-analysis/2R9VjDWhLhQ6LsQBcmRBYK,293547.0,4.0,celticmetal

FireandFlame,0.514,0.997,7.0,-4.297,1.0,0.121,1.18e-05,0.193,0.377,0.102,116.946,audio_features,7JToOyehVvHHHqxHPwS9La,spotify:track:7JToOyehVvHHHqxHPwS9La,https://api.spotify.com/v1/tracks/7JToOyehVvHHHqxHPwS9La,https://api.spotify.com/v1/audio-analysis/7JToOyehVvHHHqxHPwS9La,339413.0,4.0,celticmetal

ForgottenPaths,0.175,0.882,3.0,-6.123,1.0,0.11,0.00122,0.467,0.157,0.0556,174.579,audio_features,1mDupi4yX9KQ3Wh6oSYqNP,spotify:track:1mDupi4yX9KQ3Wh6oSYqNP,https://api.spotify.com/v1/tracks/1mDupi4yX9KQ3Wh6oSYqNP,https://api.spotify.com/v1/audio-analysis/1mDupi4yX9KQ3Wh6oSYqNP,664388.0,3.0,celticmetal

RainofFury,0.42,0.875,2.0,-4.801,1.0,0.0527,0.000402,0.0106,0.266,0.232,179.993,audio_features,0uk6pxp37C1pyiEJlArHjw,spotify:track:0uk6pxp37C1pyiEJlArHjw,https://api.spotify.com/v1/tracks/0uk6pxp37C1pyiEJlArHjw,https://api.spotify.com/v1/audio-analysis/0uk6pxp37C1pyiEJlArHjw,249387.0,4.0,celticmetal

TheReturn,0.118,0.99,8.0,-3.615,0.0,0.132,2.82e-06,0.916,0.33,0.474,195.014,audio_features,6PFnze11f9ykaDJCL6zSFx,spotify:track:6PFnze11f9ykaDJCL6zSFx,https://api.spotify.com/v1/tracks/6PFnze11f9ykaDJCL6zSFx,https://api.spotify.com/v1/audio-analysis/6PFnze11f9ykaDJCL6zSFx,265613.0,3.0,celticmetal

TheLionFromtheNorth,0.492,0.954,6.0,-4.574,0.0,0.0508,6.65e-05,0.00874,0.257,0.643,152.987,audio_features,734y7nJZ0cPOACIoT9kWyV,spotify:track:734y7nJZ0cPOACIoT9kWyV,https://api.spotify.com/v1/tracks/734y7nJZ0cPOACIoT9kWyV,https://api.spotify.com/v1/audio-analysis/734y7nJZ0cPOACIoT9kWyV,282520.0,4.0,celticmetal

SonoftheSky,0.235,0.49,4.0,-9.339,0.0,0.0298,0.111,0.000969,0.221,0.221,180.678,audio_features,4Zba3X2hKnwFE6dRG3jFNz,spotify:track:4Zba3X2hKnwFE6dRG3jFNz,https://api.spotify.com/v1/tracks/4Zba3X2hKnwFE6dRG3jFNz,https://api.spotify.com/v1/audio-analysis/4Zba3X2hKnwFE6dRG3jFNz,297427.0,3.0,celticmetal

FireBloodandSteel,0.541,0.912,0.0,-5.491,1.0,0.0455,9.26e-05,0.00518,0.168,0.139,120.05,audio_features,7r69jRvCu24KhEIjqXnpyZ,spotify:track:7r69jRvCu24KhEIjqXnpyZ,https://api.spotify.com/v1/tracks/7r69jRvCu24KhEIjqXnpyZ,https://api.spotify.com/v1/audio-analysis/7r69jRvCu24KhEIjqXnpyZ,192000.0,3.0,celticmetal

InisMona,0.431,0.992,2.0,-2.82,0.0,0.0966,0.000374,0.00401,0.378,0.234,107.096,audio_features,1wEZ5CJdokm8DivSInRptl,spotify:track:1wEZ5CJdokm8DivSInRptl,https://api.spotify.com/v1/tracks/1wEZ5CJdokm8DivSInRptl,https://api.spotify.com/v1/audio-analysis/1wEZ5CJdokm8DivSInRptl,249240.0,4.0,celticmetal

Fantasy\sWings,0.273,0.916,7.0,-4.71,1.0,0.248,0.00367,1.52e-05,0.353,0.119,112.498,audio_features,5n4Ale9oujD3ZsfAM2NFG0,spotify:track:5n4Ale9oujD3ZsfAM2NFG0,https://api.spotify.com/v1/tracks/5n4Ale9oujD3ZsfAM2NFG0,https://api.spotify.com/v1/audio-analysis/5n4Ale9oujD3ZsfAM2NFG0,291027.0,3.0,celticmetal

DornimOhr,0.366,0.947,4.0,-4.034,0.0,0.153,0.000579,1.47e-06,0.105,0.327,184.137,audio_features,1JEGjPLCw77ZfeVZbF7Kl2,spotify:track:1JEGjPLCw77ZfeVZbF7Kl2,https://api.spotify.com/v1/tracks/1JEGjPLCw77ZfeVZbF7Kl2,https://api.spotify.com/v1/audio-analysis/1JEGjPLCw77ZfeVZbF7Kl2,216880.0,4.0,celticmetal

Kjettarenmotstr�mmen,0.538,0.938,11.0,-5.2,1.0,0.0794,0.00138,0.0,0.29,0.744,135.081,audio_features,2wJj7JwUMyppNOpyjfnFUR,spotify:track:2wJj7JwUMyppNOpyjfnFUR,https://api.spotify.com/v1/tracks/2wJj7JwUMyppNOpyjfnFUR,https://api.spotify.com/v1/audio-analysis/2wJj7JwUMyppNOpyjfnFUR,231307.0,4.0,celticmetal

ProphecyofRagnar�k,0.548,0.878,11.0,-5.758,0.0,0.0449,7.29e-05,0.0395,0.424,0.137,135.052,audio_features,6FvcKeoYNCIW1D5AEyHWjV,spotify:track:6FvcKeoYNCIW1D5AEyHWjV,https://api.spotify.com/v1/tracks/6FvcKeoYNCIW1D5AEyHWjV,https://api.spotify.com/v1/audio-analysis/6FvcKeoYNCIW1D5AEyHWjV,222373.0,4.0,celticmetal

Mexico,0.574,0.958,1.0,-3.789,1.0,0.0483,6.64e-05,1.34e-06,0.323,0.855,127.998,audio_features,30HudkdtT6bvHdagrxFJ7e,spotify:track:30HudkdtT6bvHdagrxFJ7e,https://api.spotify.com/v1/tracks/30HudkdtT6bvHdagrxFJ7e,https://api.spotify.com/v1/audio-analysis/30HudkdtT6bvHdagrxFJ7e,190333.0,4.0,celticmetal

ToHellAndBack,0.536,0.849,0.0,-4.702,1.0,0.0616,0.00318,0.00197,0.104,0.305,127.002,audio_features,0psBuoxe8gA0dadvldZ1HV,spotify:track:0psBuoxe8gA0dadvldZ1HV,https://api.spotify.com/v1/tracks/0psBuoxe8gA0dadvldZ1HV,https://api.spotify.com/v1/audio-analysis/0psBuoxe8gA0dadvldZ1HV,206547.0,4.0,celticmetal

Fejd,0.364,0.923,0.0,-4.901,0.0,0.0744,4.17e-05,0.0206,0.121,0.251,99.974,audio_features,5KqHgQ0h81PdA6GRq5r6xB,spotify:track:5KqHgQ0h81PdA6GRq5r6xB,https://api.spotify.com/v1/tracks/5KqHgQ0h81PdA6GRq5r6xB,https://api.spotify.com/v1/audio-analysis/5KqHgQ0h81PdA6GRq5r6xB,303053.0,4.0,celticmetal

HerWirt,0.301,0.952,9.0,-6.17,1.0,0.0574,2.68e-05,0.778,0.235,0.471,140.097,audio_features,2a99qSkB9UVxepQJ2KTfAJ,spotify:track:2a99qSkB9UVxepQJ2KTfAJ,https://api.spotify.com/v1/tracks/2a99qSkB9UVxepQJ2KTfAJ,https://api.spotify.com/v1/audio-analysis/2a99qSkB9UVxepQJ2KTfAJ,369307.0,4.0,celticmetal

WayoftheWarrior,0.251,0.985,2.0,-5.119,1.0,0.125,5.4e-06,0.52,0.231,0.222,132.641,audio_features,5XJ1jQYn3l4KCNx3IoIC3r,spotify:track:5XJ1jQYn3l4KCNx3IoIC3r,https://api.spotify.com/v1/tracks/5XJ1jQYn3l4KCNx3IoIC3r,https://api.spotify.com/v1/audio-analysis/5XJ1jQYn3l4KCNx3IoIC3r,237227.0,4.0,celticmetal

EspenBinAskeladden,0.345,0.908,7.0,-5.618,1.0,0.0485,0.000902,4.01e-06,0.12,0.514,134.809,audio_features,3eg1DWDuR5J4IgZuNtaU9h,spotify:track:3eg1DWDuR5J4IgZuNtaU9h,https://api.spotify.com/v1/tracks/3eg1DWDuR5J4IgZuNtaU9h,https://api.spotify.com/v1/audio-analysis/3eg1DWDuR5J4IgZuNtaU9h,245213.0,4.0,celticmetal

Epona,0.493,0.946,2.0,-6.721,0.0,0.079,0.00258,0.034,0.381,0.518,144.972,audio_features,6dtGNp1M5FFLhjejpGawV4,spotify:track:6dtGNp1M5FFLhjejpGawV4,https://api.spotify.com/v1/tracks/6dtGNp1M5FFLhjejpGawV4,https://api.spotify.com/v1/audio-analysis/6dtGNp1M5FFLhjejpGawV4,227707.0,4.0,celticmetal

BattleintheSky,0.446,0.978,9.0,-3.52,1.0,0.0985,0.000693,3.72e-06,0.393,0.19,159.933,audio_features,3KkPHbFi3Rf7BRcRpjLskE,spotify:track:3KkPHbFi3Rf7BRcRpjLskE,https://api.spotify.com/v1/tracks/3KkPHbFi3Rf7BRcRpjLskE,https://api.spotify.com/v1/audio-analysis/3KkPHbFi3Rf7BRcRpjLskE,264560.0,4.0,celticmetal

AngelsonNeonWings,0.557,0.818,9.0,-8.21,1.0,0.0383,0.00195,0.0,0.103,0.353,95.001,audio_features,38C026xnfYW1J7hqdbef0c,spotify:track:38C026xnfYW1J7hqdbef0c,https://api.spotify.com/v1/tracks/38C026xnfYW1J7hqdbef0c,https://api.spotify.com/v1/audio-analysis/38C026xnfYW1J7hqdbef0c,320000.0,4.0,celticmetal

BloodofHeroes,0.548,0.918,4.0,-5.73,0.0,0.0545,3.53e-05,0.0286,0.0797,0.28,107.977,audio_features,4qgDlkfqsbZ0q5tOSp0nqE,spotify:track:4qgDlkfqsbZ0q5tOSp0nqE,https://api.spotify.com/v1/tracks/4qgDlkfqsbZ0q5tOSp0nqE,https://api.spotify.com/v1/audio-analysis/4qgDlkfqsbZ0q5tOSp0nqE,221507.0,4.0,celticmetal

LionArises,0.447,0.881,5.0,-5.26,1.0,0.0471,0.0097,6.72e-05,0.313,0.335,104.979,audio_features,533BIBwLQowopZQzbCuIu8,spotify:track:533BIBwLQowopZQzbCuIu8,https://api.spotify.com/v1/tracks/533BIBwLQowopZQzbCuIu8,https://api.spotify.com/v1/audio-analysis/533BIBwLQowopZQzbCuIu8,281219.0,3.0,celticmetal

Alestorm,0.485,0.967,6.0,-3.649,1.0,0.0704,6.9e-05,0.0,0.297,0.619,74.976,audio_features,1VVSeif54ALo2SaZ35U5I3,spotify:track:1VVSeif54ALo2SaZ35U5I3,https://api.spotify.com/v1/tracks/1VVSeif54ALo2SaZ35U5I3,https://api.spotify.com/v1/audio-analysis/1VVSeif54ALo2SaZ35U5I3,236787.0,4.0,celticmetal

�Valhalla,0.5,0.458,2.0,-11.097,1.0,0.027,0.537,0.433,0.101,0.0697,92.056,audio_features,3WrCrpNOnlVWRHtRKJONWC,spotify:track:3WrCrpNOnlVWRHtRKJONWC,https://api.spotify.com/v1/tracks/3WrCrpNOnlVWRHtRKJONWC,https://api.spotify.com/v1/audio-analysis/3WrCrpNOnlVWRHtRKJONWC,214933.0,4.0,celticmetal

Lvgvs,0.503,0.868,10.0,-7.103,0.0,0.0426,0.0157,6.41e-06,0.123,0.505,108.642,audio_features,31fkMc2mGqwgvoFY7ELhPh,spotify:track:31fkMc2mGqwgvoFY7ELhPh,https://api.spotify.com/v1/tracks/31fkMc2mGqwgvoFY7ELhPh,https://api.spotify.com/v1/audio-analysis/31fkMc2mGqwgvoFY7ELhPh,256347.0,4.0,celticmetal

Awakening,0.391,0.978,6.0,-8.531,0.0,0.0921,6e-06,0.000476,0.0941,0.167,155.043,audio_features,1JCCYK2HYA04KTBKXYHH7X,spotify:track:1JCCYK2HYA04KTBKXYHH7X,https://api.spotify.com/v1/tracks/1JCCYK2HYA04KTBKXYHH7X,https://api.spotify.com/v1/audio-analysis/1JCCYK2HYA04KTBKXYHH7X,437920.0,4.0,celticmetal

Snakehenge,0.517,0.784,0.0,-5.233,1.0,0.0288,0.0103,0.00472,0.222,0.648,99.957,audio_features,0TwejEm9BvorNaFFSsAobO,spotify:track:0TwejEm9BvorNaFFSsAobO,https://api.spotify.com/v1/tracks/0TwejEm9BvorNaFFSsAobO,https://api.spotify.com/v1/audio-analysis/0TwejEm9BvorNaFFSsAobO,233240.0,4.0,celticmetal

DowntheWhiteWaters-SingleEdit,0.449,0.761,2.0,-9.324,1.0,0.0302,0.000418,0.00594,0.35,0.442,93.506,audio_features,6wKGmTQkWfXPaVAv85cXJ9,spotify:track:6wKGmTQkWfXPaVAv85cXJ9,https://api.spotify.com/v1/tracks/6wKGmTQkWfXPaVAv85cXJ9,https://api.spotify.com/v1/audio-analysis/6wKGmTQkWfXPaVAv85cXJ9,298505.0,4.0,celticmetal

ForThoseAbouttoFightforMetal,0.413,0.974,2.0,-5.446,1.0,0.0804,1.19e-05,0.835,0.096,0.108,97.493,audio_features,43q96dY1coOtTywVVeOdAc,spotify:track:43q96dY1coOtTywVVeOdAc,https://api.spotify.com/v1/tracks/43q96dY1coOtTywVVeOdAc,https://api.spotify.com/v1/audio-analysis/43q96dY1coOtTywVVeOdAc,317520.0,4.0,celticmetal

